#功体编号	功体名称	功体叙述	提升叙述	每次重数提升能力	最高重数提升能力	经验曲线	图片icon	效果	开启条件	效果	开启条件	效果	开启条件	效果
#ID	Name	Desc	sUpgradeNotes	LevelUP	MaxUP	iExp	sIcon1	ConditionEffectID1	sConditions	ConditionEffectID2	sConditions	ConditionEffectID3	sConditions	ConditionEffectID3
70080	雷霆心法	骆家家传功法，势若三千雷动，迅猛凌厉。	无	(1,180)*(3,180)	(53,8)*(54,8)	7	NeigongImage32	910087	(10,0,70080,1)	500029	(10,0,70080,7)	0	(10,0,70080,10)	987009
70081	神龙密咒	昔年神龙教不传密咒，可使人发挥十倍潜能。	气血+60，内力+40 [c][12C0D3]<br>满重增益：暴击+5%[-][/c]<br>一重：累进攻击 七重：狂暴 十重：暴击后霸体	(1,60)*(3,40)	(53,5)	7	NeigongImage33	100017	(10,0,70081,1)	100035	(10,0,70081,7)	100034	(10,0,70081,10)	987009
70082	密宗心法	密宗一派的武功心法，习练到深处，顶门会凹陷下去，面色如铜。	无	(1,200)*(3,200)	(1,300)*(3,300)	5	NeigongImage33	910116	(10,0,70082,1)	0	(10,0,70082,7)	0	(10,0,70082,10)	987009
70083	武林群侠传	从无名的落魄书生写的江湖小说中领悟出的心法。这本小说描述了初出茅庐的少年偶逢名师，后成为一代高手的故事。与寻常小说不同的是，小说一共分三个结局，一个结局成为武林盟主、一个成为魔教统领、一个则是西域安国侯。书中每次遇到选择时，读者可以自由决定要怎么进行下去，依据选择翻到不同页码，就像游戏书似的。如此别开生面的书，却似乎不为坊间一般人接受，真是可惜之至。	气血+50，内力+30 [c][12C0D3]<br>满重增益：悟性+5，闪避与反击+7%[-][/c]<br>一重：周遭抗暴击提升 七重：周遭暴击提升 十重：周遭内力回复	(1,50)*(3,30)	(13,5)*(51,7)*(52,7)	6	NeigongImage33	910138	(10,0,70083,1)	910139	(10,0,70083,7)	910140	(10,0,70083,10)	987009
70084	居合道	东瀛拔刀术，讲究一击必杀的杀人美学。	不传之密	(1,100)*(3,100)*(52,1)	(52,10)*(55,10)	6	NeigongImage33	910143	(10,0,70084,1)	500038	(10,0,70084,7)	0	(10,0,70084,10)	987009
70085	强化肉体	刺激穴道，将内力散步周身，强化身体能力。近似于铁布衫之类的硬功。	不传之密	-1,250	-1,500	6	NeigongImage33	500022	(10,0,70085,1)	500025	(10,0,70085,7)	500038	(10,0,70085,10)	910149
70086	烈日诀	极阳的炽热内功，练到完满之境，可谓人间太阳。	不传之密	(1,100)*(3,100)*(51,1)*(14,1)	(51,10)*(14,10)	6	NeigongImage33	500017	(10,0,70086,1)	500014	(10,0,70086,7)	910146	(10,0,70086,10)	987009
70087	战斗演舞曲	一个稀少蛮族所流传的特殊战斗方法，常人无法明白其中奥妙。	不传之密	(1,200)*(3,200)	(12,10)*(14,10)	6	NeigongImage33	500038	(10,0,70087,1)	910148	(10,0,70087,7)	500042	(10,0,70087,10)	987009
70088	鼎心无量功	紫绫搜集无数毒虫，并放入神木王鼎中炼制七七四十九天后、得出鼎心无量毒丹。服用毒丹后，再辅以自身毒术根基，将内力转化为剧毒而成的功体。可说是天下第一毒功！	气血+80，内力+50 [c][12C0D3]<br>满重增益：内力+300，闪避+5%[-][/c]<br>一重：毒焚 七重：毒盾 十重：毒息	(1,80)*(3,50)	(3,300)*(51,5)	7	NeigongImage33	910173	(10,0,70088,1)	910174	(10,0,70088,7)	910175	(10,0,70088,10)	987024
70089	嫁衣神功	嫁衣神功是一门非常奇特的武功，典故出自秦韬玉诗〈贫女〉最后两句：「苦恨年年压金线，为他人做嫁衣裳」。所谓「嫁衣」就是新娘礼服， 穷苦人家的女子每年收到订单制做嫁衣，可是年复一年自己都嫁不出去，由诗中句意可以推知「嫁衣」二字纯为利他，所以这种武功自己炼了也没用，功力越高受苦越深，就像贫女一样「苦恨年年压金线」却是「为他人做嫁衣裳」。	气血+50 [c][12C0D3]<br>满重增益：内力+500[-][/c]	(1,50)	-3,500	10	NeigongImage33	910181	(10,0,70089,1)	0	(10,0,70089,7)	0	(10,0,70089,10)	987024
70090	闭穴功夫	昔日绝情谷公孙家的家传武功，习练条件极难，但练成后不惧点穴之类武功。	气血+130，内力+120 <br>满重增益：抗暴、抗反+5%	(1,130)*(3,120)	(56,5)*(57,5)	7	NeigongImage33	910072	(10,0,70090,1)	100069	(10,0,70090,7)	100076	(10,0,70090,10)	987009
70091	少林铁布衫	少林绝学，以硬功、气功为基础，可承受外来之击而无损于自身，大成者周身坚硬逾铁，刀剑难伤。	气血+100 [c][12C0D3]<br>满重增益：抗暴+15%[-][/c]<br>一重：坚守 五重：横练	-1,100	(57,15)	5	NeigongImage33	100076	(10,0,70091,1)	500036	(10,0,70091,7)	0	(10,0,70091,10)	987009
87001	无间心法	阎罗在阿鼻岛悟出的神功。	提升描述	0	0	5	NeigongImage33	987001	(10,0,87001,1)	0	(10,0,87001,7)	0	(10,0,87001,10)	987009
87002	蛟龙翻江	敖广自创的一套内功心法。时时在大江出海口的怒涛中锻炼，内功如钱塘大潮，一浪迭过一浪，旧力未消，新力已生，重重堆栈下，令敌人无可抵挡。	气血+80，内力+40 [c][12C0D3]<br>满重增益：臂力+5，抗暴+10%，气血+300[-][/c]<br>一重：恐惧 七重：周遭敌人降闪避 十重：累进攻击	0	0	6	NeigongImage33	987010	(10,0,87002,1)	0	(10,0,87002,7)	0	(10,0,87002,10)	987009
87003	龙蛰功	东南海中有民，善渔，可潜水数时辰而不需上浮换气，谓之鲛人。其实所谓鲛人，乃是修习了一部极为特异的功法，吸气入体，散之五脏储存，是以可以长时间闭气。	气血+80，内力+40 [c][12C0D3]<br>满重增益：内力+180[-][/c]<br>一重：回复 十重：暴击后霸体	0	0	4	NeigongImage33	987012	(10,0,87003,1)	0	(10,0,87003,7)	0	(10,0,87003,10)	987009
87004	神枪阵	爆击时附加重伤，周遭一格友方，防御+5<br>阵若实用者，莫枪若也———《武备志》<br>【此为阵法，免疫内伤】	周身一格，防御+5	0	0	4	NeigongImage33	987015	(10,0,87004,1)	0	(10,0,87004,7)	0	(10,0,87004,10)	987009
87005	杀神七诀	横炼的武功，完全契合罗煞的血性，死战不休，唯有燃烧至灰才会停下猛烈的进攻。	0	0	0	5	NeigongImage33	987017	(10,0,87005,1)	0	(10,0,87005,7)	0	(10,0,87005,10)	987009
87006	绝杀阵	天罗地网：周身2格敌方闪避-10~20%<br>冷血：气血低于40%，增加命中和伤害<br>绝杀：连斩<br>【此为阵法，免疫内伤】	0	0	0	6	NeigongImage33	987022	(10,0,87006,1)	987097	(10,0,87006,7)	987003	(10,0,87006,10)	987009
87007	绣魂点魄	出自葵花宝典的邪功，此功法乃由他人所绶，非自练可得，绶功者以银针刺激习功者穴道，强行引出真气，能在片刻使习功者身负十多年功力修为；然而由于是强行引出，对人体器官会造成极大负荷，不但会使习功者寿命大减，且习功者若一日不练此功，便会感到全身剧痛，使习功者永远受绶功者之摆布。	0	0	0	6	NeigongImage33	987004	(10,0,87007,1)	987023	(10,0,87007,7)	0	(10,0,87007,10)	987024
87008	无妄神功	无妄：元亨利贞。 其匪正有眚，不利有攸往。	0	0	0	5	NeigongImage33	100013	(10,0,87008,1)	0	(10,0,87008,7)	0	(10,0,87008,10)	987024
87009	妄魂三绝	以奇诡难测之法迷惑旁人的，并非上乘武学，但孟婆却将其发挥到了极致。	0	0	0	7	NeigongImage33	987069	(10,0,87009,1)	0	(10,0,87009,7)	0	(10,0,87009,10)	987009
87010	野兽本能：鸡	迷你体型：闪避+50%<br>天佑：减伤40%<br>鸡飞狗跳：血量80%以下，增加移动格数	0	0	0	0	NeigongImage34	987037	(10,0,87010,1)	0	(10,0,87010,7)	0	(10,0,87010,10)	987009
87011	野兽本能：鳄鱼	皮粗肉厚：血量50%以上，减伤20%<br>食压：周身一格，攻击、防御下降15%<br>老饕之怒：血量50%以下，狂怒	0	0	0	0	NeigongImage35	987038	(10,0,87011,1)	0	(10,0,87011,7)	0	(10,0,87011,10)	987009
87012	野兽本能：狼	噬杀饮血：吸收攻击伤害150%气血<br>忠诚灵性：血量60%以上，保护一格内同伴<br>临危反应：血量50%以下，增加闪避60%<br>极地抗性：减伤25%、负向状态免疫	0	0	0	0	NeigongImage36	987039	(10,0,87012,1)	0	(10,0,87012,7)	0	(10,0,87012,10)	987009
87013	野兽本能：小狼	娇小体型：闪避+40%<br>无辜眼神：减伤30%<br>调皮捣蛋：爆击、闪避时敌方点穴	0	0	0	0	NeigongImage37	987040	(10,0,87013,1)	0	(10,0,87013,7)	0	(10,0,87013,10)	987009
87014	野兽本能：小猴子	娇小体型：闪避+40%<br>无辜眼神：减伤30%<br>泼猴：暴击发动后，获得左右互搏状态<br>醉意：累进增加攻击，防御，最多到400	0	0	0	0	NeigongImage38	987041	(10,0,87014,1)	0	(10,0,87014,7)	0	(10,0,87014,10)	987009
87015	生死簿	判官独门功法。	0	0	0	0	NeigongImage33	987072	(10,0,87015,1)	0	(10,0,87015,7)	0	(10,0,87015,10)	987009
87016	双生大法。阴	黑白双煞独门功法。	0	0	0	0	NeigongImage33	987081	(10,0,87016,1)	0	(10,0,87016,7)	0	(10,0,87016,10)	987009
87017	双生大法。阳	黑白双煞独门功法。	0	0	0	0	NeigongImage33	987084	(10,0,87017,1)	0	(10,0,87017,7)	0	(10,0,87017,10)	987009
87018	苗蛊毒功	苗疆一带引蛊毒入体，修练内功之余，也会使体质和内力带毒。	0	0	0	0	NeigongImage33	987078	(10,0,87018,1)	0	(10,0,87018,7)	0	(10,0,87018,10)	987009
87019	大刀阵	周身一格，反击+10<br>【此为阵法，免疫内伤】	0	0	0	0	NeigongImage33	987093	(10,0,87019,1)	0	(10,0,87019,7)	0	(10,0,87019,10)	987024
87020	残花宝鉴	飞殇：神行；累进闪避，最多到40%<br>连斩：击杀后可再行动，但内力消耗加倍<br>魅影：闪避后聚气	0	0	0	0	NeigongImage33	100016	(10,0,87020,1)	987094	(10,0,87020,7)	987095	(10,0,87020,10)	987024
87021	护龙阵	爆击免疫；周身1格友方，爆击+10~20%，爆击后，找出破绽！<br>【此为阵法，免疫内伤】	0	0	0	0	NeigongImage33	987096	(10,0,87021,1)	100051	(10,0,87021,7)	0	(10,0,87021,10)	987009
87022	飞天御剑流	传自扶桑战国时代的超神速剑法，可惜没学到家。	0	0	0	0	NeigongImage33	100075	(10,0,87022,1)	0	(10,0,87022,7)	0	(10,0,87022,10)	987009
87023	飞天御剑流	传自扶桑战国时代的超神速剑法，可惜没学到家。	0	0	0	0	NeigongImage33	100075	(10,0,87023,1)	987100	(10,0,87023,7)	0	(10,0,87023,10)	987009
87024	黑冢忍法‧樱散华	黑冢军势秘传的忍法之一，宛若樱花散落班接连将苦无朝周遭射出。	0	0	0	0	NeigongImage33	987101	(10,0,87024,1)	0	(10,0,87024,7)	0	(10,0,87024,10)	987009
87025	黑冢忍法‧草上飞	黑冢军势秘传的忍法之一，足不点地，瞬息千里。	0	0	0	0	NeigongImage33	987102	(10,0,87025,1)	0	(10,0,87025,7)	0	(10,0,87025,10)	987009
87026	黑冢忍法‧十里云雾	黑冢军势秘传的忍法之一，使用特制的烟雾弹令周遭垄罩在浓雾之中。	0	0	0	0	NeigongImage33	987103	(10,0,87026,1)	0	(10,0,87026,7)	0	(10,0,87026,10)	987009
87027	黑冢忍法‧樱散撩乱	黑冢军势秘传的高等忍法，苦无射击的密集度进一步扩大。	0	0	0	0	NeigongImage33	987104	(10,0,87027,1)	0	(10,0,87027,7)	0	(10,0,87027,10)	987009
87028	黑冢忍法‧百里云雾	黑冢军势秘传的高等忍法，烟雾弹的范围更进一步扩大。	0	0	0	0	NeigongImage33	987105	(10,0,87028,1)	0	(10,0,87028,7)	0	(10,0,87028,10)	987009
87029	黑冢忍法‧风林火山	黑冢军势秘传的高等忍法，可自由变化风林火山四种态势，号称东瀛第一忍法。	0	0	0	0	NeigongImage33	987106	(10,0,87029,1)	0	(10,0,87029,7)	0	(10,0,87029,10)	987009
87030	太阴针魄	体内某种古怪的银针令此人在濒临死亡时能够爆发出强大的力量。	0	0	0	0	NeigongImage33	987109	(10,0,87030,1)	0	(10,0,87030,7)	0	(10,0,87030,10)	987009
87031	伏虎刀阵	朝廷大刀队的制式阵法，先声夺人，威风八面。	0	0	0	0	NeigongImage33	987110	(10,0,87031,1)	0	(10,0,87031,7)	0	(10,0,87031,10)	987009
87032	六扇阵	六扇门标准阵型，首尾呼应，围而歼之。	0	0	0	0	NeigongImage33	987111	(10,0,87032,1)	0	(10,0,87032,7)	0	(10,0,87032,10)	987024
87033	金龙枪阵	朝廷长枪队的制式阵法，百枪丛生，寸步难移。	0	0	0	0	NeigongImage33	987112	(10,0,87033,1)	0	(10,0,87033,7)	0	(10,0,87033,10)	987009
87034	铁叉蛊术	铁叉部所修习的蛊术，对他们而言，蛊术不只是伤敌的手段，亦可用来救死扶伤。	0	0	0	0	NeigongImage33	987113	(10,0,87034,1)	0	(10,0,87034,7)	0	(10,0,87034,10)	987009
87035	神火炮阵	朝廷神火队的炮阵，炮车相连，左右相护。	0	0	0	0	NeigongImage33	987119	(10,0,87035,1)	0	(10,0,87035,7)	0	(10,0,87035,10)	987009
87036	江湖心法	江湖上滥俗的武功。	0	0	0	0	NeigongImage33	987120	(10,0,87036,1)	0	(10,0,87036,7)	0	(10,0,87036,10)	987009
87037	野兽本能‧公鸡	公鸡的野兽本能，行动迅捷，啼声更是振奋人心。	1	1	1	1	NeigongImage33	987120	(10,0,87037,1)	0	(10,0,87037,7)	0	(10,0,87037,10)	987009
87038	野兽本能‧母鸡	母鸡的野兽本能，行动迅捷，掩翅相护。	2	2	2	2	NeigongImage33	987121	(10,0,87038,1)	0	(10,0,87038,7)	0	(10,0,87038,10)	987009
87039	野兽本能‧熊	野熊的野兽本能，巨爪威猛无匹，身躯遮天蔽日。	3	3	3	3	NeigongImage33	987122	(10,0,87039,1)	0	(10,0,87039,7)	0	(10,0,87039,10)	987009
87040	野兽本能‧虎	老虎的野兽本能，百兽之王，闻风丧胆。	4	4	4	4	NeigongImage33	987123	(10,0,87040,1)	0	(10,0,87040,7)	0	(10,0,87040,10)	987009
87041	野兽本能‧鳄	鳄鱼的野兽本能，硬皮刀枪不入，巨颚一咬再无脱身之机。	5	5	5	5	NeigongImage33	987124	(10,0,87041,1)	0	(10,0,87041,7)	0	(10,0,87041,10)	987009
87042	野兽本能‧狼	野狼的野兽本能，林中穿梭，影踪难寻。	6	6	6	6	NeigongImage33	987125	(10,0,87042,1)	0	(10,0,87042,7)	0	(10,0,87042,10)	987009
87043	野兽本能‧鹰	老鹰的野兽本能，翼展天际，利爪寻目。	7	7	7	7	NeigongImage33	987126	(10,0,87043,1)	0	(10,0,87043,7)	0	(10,0,87043,10)	987009
87044	龙蛰功	东南海中有民，善渔，可潜水数时辰而不需上浮换气，谓之鲛人。其实所谓鲛人，乃是修习了一部极为特异的功法，吸气入体，散之五脏储存，是以可以长时间闭气。	满重的	0	0	4	NeigongImage33	987012	(10,0,87044,1)	987161	(10,0,87044,7)	0	(10,0,87044,10)	987009
87045	平南阵	沐王府精兵闻名于世的战阵，云滇山川险恶、毒虫遍布，沐王府精兵于此地驻守多年，已发展出一套于山地行军、对付毒虫瘴气的法门。	0	0	0	0	NeigongImage33	987114	(10,0,87045,1)	0	(10,0,87045,7)	0	(10,0,87045,10)	987009
87046	圣王狂热	孔雀王朝的谜样信仰，似乎越是处于逆境，便愈能激发他们反抗的力量。	0	0	0	0	NeigongImage33	987116	(10,0,87046,1)	0	(10,0,87046,7)	0	(10,0,87046,10)	987009
87047	长白枪阵	东北后金国之阵法，据说是自长白山采蔘人的技巧所演变而来。	0	0	0	0	NeigongImage33	987117	(10,0,87047,1)	0	(10,0,87047,7)	0	(10,0,87047,10)	987009
87048	青龙偃月阵	长虹镖局走镖时互相掩护的阵型，据说是自三国关云长之战阵所演变而来。	0	0	0	0	NeigongImage33	987183	(10,0,87048,1)	0	(10,0,87048,7)	0	(10,0,87048,10)	987009
87049	秋风扫叶阵	金风镖局走镖时互相掩护的阵型，步伐轻巧，驾车神速，要旨在于不与敌接战。	0	0	0	0	NeigongImage33	987184	(10,0,87049,1)	0	(10,0,87049,7)	0	(10,0,87049,10)	987009
87050	浴血凤凰阵	补血阵法	0	0	0	0	NeigongImage33	500092	(10,0,87050,1)	0	(10,0,87050,7)	0	(10,0,87050,10)	987009
90001	飞天御剑流	传自扶桑战国时代的超神速剑法，可惜没学到家。	无	(1,80)*(3,80)	(53,5)	5	NeigongImage33	100075	(10,0,90001,1)	100076	(10,0,90001,7)	100037	(10,0,90001,10)	987009
90002	血鲨阵	海鲨帮从军队战阵之法中偷师，虽不若江湖门派的玄妙，但人数越多，越能见其威力。	无	(1,80)*(3,80)	(53,5)	5	NeigongImage33	100109	(10,0,90002,1)	0	(10,0,90002,7)	0	(10,0,90002,10)	987009
90003	血海魔功	柯尔克借鉴血刀经，将其更动改异为适合自己所用。	无	(1,80)*(3,80)	(53,5)	7	NeigongImage33	100035	(10,0,90003,1)	100016	(10,0,90003,7)	100065	(10,0,90003,10)	987024
90004	神农琉璃功	数十年前百草门在神农架采药时，意外获得一块骨片，上面刻有一套内功修练图录。	气血+200，内力+100 <br>满重增益：根骨+5	(1,80)*(3,80)	(12,5)	6	NeigongImage33	100029	(10,0,90004,1)	100044	(10,0,90004,7)	100030	(10,0,90004,10)	987024
90005	兽性大发	野兽的天生求生欲望，濒临危险时，显得更加凶猛。	无	(1,80)*(3,80)	(53,5)	5	NeigongImage33	987189	(10,0,90005,1)	0	(10,0,90005,7)	0	(10,0,90005,10)	910167
90006	修罗怒杀阵	修罗宫几乎绝足江湖，无人能一窥其中奥妙。	无	(1,80)*(3,80)	(53,5)	5	NeigongImage33	100112	(10,0,90006,1)	0	(10,0,90006,7)	0	(10,0,90006,10)	987009
90007	八卦阵	八卦门弟子必学的阵法，非仅仅是合力攻击，而是蕴含五行八卦之理。可惜商氏父子不擅长此道。	无	(1,80)*(3,80)	(53,5)	5	NeigongImage33	100107	(10,0,90007,1)	0	(10,0,90007,7)	0	(10,0,90007,10)	987009
90008	七剑大阵	铸剑山庄镇庄之阵，着重守御，七名护剑使为一组，以沉重的钢剑互相掩护配合，弥补自身弱点。	无	(1,80)*(3,80)	(53,5)	5	NeigongImage33	100108	(10,0,90008,1)	0	(10,0,90008,7)	0	(10,0,90008,10)	987009
90009	唐门镖阵	唐门弟子必学的阵法，彼此配合，让暗器覆盖面更大更广。	无	(1,80)*(3,80)	(53,5)	5	NeigongImage33	100106	(10,0,90009,1)	0	(10,0,90009,7)	0	(10,0,90009,10)	987009
90010	绣春刀阵	锦衣卫分进合击的配合法门。	无	(1,80)*(3,80)	(53,5)	6	NeigongImage33	100037	(10,0,90010,1)	100051	(10,0,90010,7)	100023	(10,0,90010,10)	987024
90011	莲花落阵	丐帮弟子必学的阵法，彼此配合之下，可发挥数倍实力。	无	(1,80)*(3,80)	(53,5)	5	NeigongImage33	100101	(10,0,90011,1)	0	(10,0,90011,7)	0	(10,0,90011,10)	987009
90012	真武蛇阵	武当弟子入门学习的的两套剑阵之一，此为灵活擅攻的蛇阵。	无	(1,80)*(3,80)	(53,5)	5	NeigongImage33	900054	(10,0,90012,1)	0	(10,0,90012,7)	0	(10,0,90012,10)	987009
90013	真武龟阵	武当弟子入门学习的的两套剑阵之一，此为沉稳固守的龟阵。	无	(1,80)*(3,80)	(53,5)	5	NeigongImage33	900055	(10,0,90013,1)	0	(10,0,90013,7)	0	(10,0,90013,10)	987009
90014	七截阵头	武当阵派大阵:真武七截阵的简易版。虽然威力略逊，但习练也较为简单。	无	(1,80)*(3,80)	(53,5)	5	NeigongImage33	100029	(10,0,90014,1)	100033	(10,0,90014,7)	0	(10,0,90014,10)	987009
90015	尸控	尸身之所以会动，乃是因为傀尸以线操作尸体行动。	气血+200，内力+120 <br>满重增益：命中+5%	(1,80)*(3,80)	(55,5)	5	NeigongImage33	100072	(10,0,90015,1)	100062	(10,0,90015,7)	0	(10,0,90015,10)	987009
90016	九阴残经	源于九阴真经，所载乃速成法门，虽初习时威力极大，却难登一流之境。	无	(1,80)*(3,80)	(53,5)	7	NeigongImage33	100019	(10,0,90016,1)	100017	(10,0,90016,7)	100077	(10,0,90016,10)	987009
90017	幽冥之息	阎罗将所学武功简化后，传授给亲信的酆都死士。此套武功绝不逊色于各大门派的武学。	无	(1,80)*(3,80)	(53,5)	6	NeigongImage33	987167	(10,0,90017,1)	100017	(10,0,90017,7)	0	(10,0,90017,10)	987009
90018	八部龙神阵	天龙教教众的阵法，可借邻近众人之力为己用。	无	(1,80)*(3,80)	(53,5)	5	NeigongImage33	987115	(10,0,90018,1)	0	(10,0,90018,7)	0	(10,0,90018,10)	987009
90019	江湖心法	江湖上滥俗的武功。	0	0	0	0	NeigongImage33	987125	(10,0,90019,1)	0	(10,0,90019,7)	0	(10,0,90019,10)	987009
90020	疾风功		气血+100，内力+200 <br>满重增益：暴击+5%	(1,100)*(3,200)	(53,5)	5	NeigongImage33	987200	(10,0,90020,1)	987201	(10,0,90020,7)	0	(10,0,90020,10)	987024
90021	龙虎般若功		气血+100，内力+200 <br>满重增益：反击+5%	(1,100)*(3,200)	(52,5)	5	NeigongImage33	987202	(10,0,90021,1)	987203	(10,0,90021,7)	0	(10,0,90021,10)	987024
90022	青龙心法		气血+100，内力+200 <br>满重增益：反击+5%	(1,100)*(3,200)	(52,5)	5	NeigongImage33	987116	(10,0,90022,1)	987164	(10,0,90022,7)	0	(10,0,90022,10)	987024
90023	乱情诀		气血+110，内力+110 <br>满重增益：闪避+8%	(1,110)*(3,110)	(51,8)	6	NeigongImage33	500125	(10,0,90023,1)	987215	(10,0,90023,7)	0	(10,0,900231,10)	987024
90024	四劫心诀		气血+110，内力+110 <br>满重增益：暴击+8%	(1,110)*(3,110)	(53,8)	6	NeigongImage33	987218	(10,0,90024,1)	987220	(10,0,90024,7)	0	(10,0,90024,10)	987024
90025	烈侯武书	汉名将卫青北击匈奴，七战七胜，焠其多年沙场搏杀感悟之精，乃成此书。	气血+120，内力+50 [c][12C0D3]<br>满重增益：暴击+10%[-][/c]<br>一重：增伤 七重：减伤 十重：神行	(1,120)*(3,50)	(53,10)	7	NeigongImage33	987222	(10,0,90025,1)	987223	(10,0,90025,7)	987224	(10,0,90025,10)	987024
90026	无相混沌功		气血+120，内力+50 [c][12C0D3]<br>满重增益：暴击+10%[-][/c]<br>一重：暴击狂暴 七重：减敌方防御 十重：连斩	(1,120)*(3,50)	(53,10)	7	NeigongImage33	987227	(10,0,90026,1)	987228	(10,0,90026,7)	987229	(10,0,90026,10)	987024
90027	残阳心法		气血+120，内力+50 <br>满重增益：血量+500	(1,120)*(3,50)	(1,500)	7	NeigongImage33	500121	(10,0,90027,1)	500122	(10,0,90027,7)	500125	(10,0,90027,10)	987024
90028	孤星命格		气血+120，内力+50 [c][12C0D3]<br>满重增益：闪避+10%[-][/c]<br>一重：闪避提升 七重：闪避后识破	(1,120)*(3,50)	(51,10)	7	NeigongImage33	987230	(10,0,90028,1)	987231	(10,0,90028,7)		(10,0,90028,10)	987024
99001	乾坤大挪移	明教历代相传的一门最厉害的武功，只有教主方可修炼。 其根本道理也并不奥妙，只不过是先要激发自身潜力，然后牵引挪移，其中变化莫测，匪夷所思。	无	(52,5)*(57,5)	(53,10)	5	NeigongImage33	890001	(10,0,99001,1)	890004	(10,0,99001,7)	890005	(10,0,99001,10)	910069
